contributors
"[{'contributors_names': ['diponsaha007'], 'contributions_count': [12]}]"
"[{'contributors_names': ['j-wil', 'dependabot[bot]'], 'contributions_count': [19, 4]}]"
"[{'contributors_names': ['lbcgi'], 'contributions_count': [12]}]"
"[{'contributors_names': ['masudranashawon'], 'contributions_count': [17]}]"
"[{'contributors_names': ['alexmacarthur', 'ajrussellaudio'], 'contributions_count': [8, 2]}]"
"[{'contributors_names': ['charliesbot'], 'contributions_count': [21]}]"
"[{'contributors_names': ['AlUlkesh', 'carlosmachina'], 'contributions_count': [11, 1]}]"
"[{'contributors_names': ['vukrosic'], 'contributions_count': [7]}]"
"[{'contributors_names': ['ququzone'], 'contributions_count': [24]}]"
"[{'contributors_names': ['berat-refineri', 'fakalit'], 'contributions_count': [3, 1]}]"
"[{'contributors_names': ['kishanpatelbacancy'], 'contributions_count': [2]}]"
"[{'contributors_names': ['Kehinde-Ajasa', 'Crane04', 'okondev2021', 'SteloyBits'], 'contributions_count': [118, 8, 6, 2]}]"
"[{'contributors_names': ['gannonh'], 'contributions_count': [8]}]"
404
"[{'contributors_names': ['PawaniBhagya', 'abhixsh', 'layanyashoda', 'Sahan-Madushka'], 'contributions_count': [20, 5, 3, 3]}]"
"[{'contributors_names': ['jeastham1993'], 'contributions_count': [9]}]"
"[{'contributors_names': ['koikiss-dev', 'Zukaritasu', 'Mawfyy', 'TokyoTF', 'barrientosvctor', 'josesim'], 'contributions_count': [308, 100, 55, 32, 17, 13]}]"
"[{'contributors_names': ['ArdaGnsrn'], 'contributions_count': [11]}]"
"[{'contributors_names': ['KuTuGu'], 'contributions_count': [32]}]"
"[{'contributors_names': ['wlfvpn'], 'contributions_count': [14]}]"
"[{'contributors_names': [], 'contributions_count': []}]"
"[{'contributors_names': ['lazyloong', 'bennyyip'], 'contributions_count': [39, 3]}]"
"[{'contributors_names': ['pukkandan'], 'contributions_count': [7]}]"
"[{'contributors_names': ['guzba'], 'contributions_count': [56]}]"
"[{'contributors_names': ['animex007'], 'contributions_count': [2]}]"
"[{'contributors_names': ['pgreze', 'EmmaCaunter'], 'contributions_count': [31, 1]}]"
"[{'contributors_names': ['1FarZ1'], 'contributions_count': [12]}]"
"[{'contributors_names': ['mongonta0716'], 'contributions_count': [16]}]"
"[{'contributors_names': ['MaggieAppleton', 'DaveCoded'], 'contributions_count': [58, 15]}]"
"[{'contributors_names': ['Subrata2003', 'TithiB-del'], 'contributions_count': [171, 131]}]"
"[{'contributors_names': ['zerodocom'], 'contributions_count': [13]}]"
"[{'contributors_names': ['itsherifAhmed'], 'contributions_count': [7]}]"
"[{'contributors_names': ['vifon'], 'contributions_count': [109]}]"
"[{'contributors_names': ['lostroes'], 'contributions_count': [11]}]"
"[{'contributors_names': ['Jeet-programmer', 'vivekkushalch'], 'contributions_count': [12, 2]}]"
"[{'contributors_names': ['japandotorg', 'mutexdeveloper'], 'contributions_count': [92, 20]}]"
"[{'contributors_names': ['mononymperson'], 'contributions_count': [2]}]"
"[{'contributors_names': ['caoimhebyrne', 'DJtheRedstoner'], 'contributions_count': [21, 3]}]"
"[{'contributors_names': ['MainakRepositor'], 'contributions_count': [3]}]"
"[{'contributors_names': ['MSelmanSavas', 'AgaveMSelmanSavas'], 'contributions_count': [8, 5]}]"
"[{'contributors_names': ['EVIL-ACID'], 'contributions_count': [19]}]"
"[{'contributors_names': ['relliko', 'atom0s'], 'contributions_count': [25, 6]}]"
"[{'contributors_names': ['MainakRepositor'], 'contributions_count': [3]}]"
"[{'contributors_names': ['armagandalkiran', 'aslihanozfidan', 'aydinkn', 'ddenizakpinar', 'saglamburcu', 'alibalbars', 'Aegean09', 'mckocas'], 'contributions_count': [34, 7, 4, 4, 2, 1, 1, 1]}]"
"[{'contributors_names': ['yowmamasita'], 'contributions_count': [84]}]"
"[{'contributors_names': ['ultracodez', 'ElijahBcodes', 'gracesuhyun', 'jdmedlock'], 'contributions_count': [178, 25, 12, 1]}]"
"[{'contributors_names': ['ownbee'], 'contributions_count': [107]}]"
"[{'contributors_names': ['MainakRepositor'], 'contributions_count': [5]}]"
"[{'contributors_names': ['derekfountain'], 'contributions_count': [53]}]"
"[{'contributors_names': ['fefa4ka', 'ashwin-hari'], 'contributions_count': [3, 1]}]"
"[{'contributors_names': ['mhmd435'], 'contributions_count': [23]}]"
"[{'contributors_names': ['Palanikannan1437', 'henit-chobisa', 'mads-hartmann'], 'contributions_count': [57, 41, 1]}]"
"[{'contributors_names': ['aprilschen'], 'contributions_count': [35]}]"
"[{'contributors_names': ['eimg'], 'contributions_count': [20]}]"
"[{'contributors_names': ['Stilic', 'Raltyro'], 'contributions_count': [119, 22]}]"
"[{'contributors_names': ['Shm-Rsuf'], 'contributions_count': [19]}]"
"[{'contributors_names': ['cluangar'], 'contributions_count': [10]}]"
"[{'contributors_names': ['arashsm79', 'joshhchun'], 'contributions_count': [14, 1]}]"
"[{'contributors_names': ['SnowVolf'], 'contributions_count': [2]}]"
"[{'contributors_names': ['Youmiel'], 'contributions_count': [19]}]"
"[{'contributors_names': ['noahgift'], 'contributions_count': [9]}]"
"[{'contributors_names': ['valentinafeve'], 'contributions_count': [7]}]"
"[{'contributors_names': ['ahbnr'], 'contributions_count': [24]}]"
"[{'contributors_names': ['iAvoe'], 'contributions_count': [93]}]"
"[{'contributors_names': ['swatishchoudhury'], 'contributions_count': [1]}]"
"[{'contributors_names': ['ravi03071991'], 'contributions_count': [1]}]"
"[{'contributors_names': ['myleftshoe'], 'contributions_count': [10]}]"
"[{'contributors_names': ['nameisjayant'], 'contributions_count': [11]}]"
"[{'contributors_names': ['sudoskys'], 'contributions_count': [78]}]"
"[{'contributors_names': ['Moxin1044', 'wang256814742', 'yiye-yfs'], 'contributions_count': [245, 64, 12]}]"
"[{'contributors_names': ['YidaozhanYa'], 'contributions_count': [60]}]"
"[{'contributors_names': ['pepicrft'], 'contributions_count': [20]}]"
"[{'contributors_names': ['bincooo'], 'contributions_count': [33]}]"
"[{'contributors_names': ['davidkpiano'], 'contributions_count': [6]}]"
"[{'contributors_names': ['Sangwan5688', 'ankit-sa', 'Surendrajat', 'GobinathAL', 'Vistaus', 'yarons', 'ShareASmile', 'ersen0', 'BrightDV', 'vokaEntropy', 'josmiguel92', 'shaan-mephobic', 'adam-adrian', 'artemmolotov', 'ITStep-Artu-Student', 'StarSkyGeminid', 'memrdk', 'Dr-Sauce', 'Fjuro', 'LuanRT', 'sryze', 'wushidia', 'dhruvanbhalara', 'AmirulAndalib', 'Polski-Bartek', 'therealbishwash', 'GithubUser12882873929', 'reishoku', 'Webbanditten', 'shuvashish76'], 'contributions_count': [303, 35, 26, 22, 17, 12, 11, 9, 8, 7, 6, 6, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2]}]"
"[{'contributors_names': ['uf0o', 'fdiskyou', 'shutupandhax', 'kasif-dekel'], 'contributions_count': [19, 6, 4, 2]}]"
"[{'contributors_names': ['MicheleBiena', 'jtszalay'], 'contributions_count': [20, 1]}]"
"[{'contributors_names': ['BADBADBADBOY'], 'contributions_count': [1]}]"
"[{'contributors_names': ['aruncs31s', 'amarnath749', 'Gouthamexe', 'anuranch', 'lpddr3', 'Gouthamdaas', 'athulvv1', 'cs-arun', 'sonyt86'], 'contributions_count': [194, 3, 3, 2, 2, 1, 1, 1, 1]}]"
"[{'contributors_names': ['emohamedd'], 'contributions_count': [2]}]"
"[{'contributors_names': ['ginny100'], 'contributions_count': [270]}]"
"[{'contributors_names': ['paopaol', 'vinnydiehl', 'jueshidouzi', 'protodev-rage'], 'contributions_count': [9, 4, 1, 1]}]"
"[{'contributors_names': ['ClarkFieseln'], 'contributions_count': [85]}]"
"[{'contributors_names': ['torfjelde', 'storopoli', 'pitmonticone'], 'contributions_count': [43, 17, 2]}]"
"[{'contributors_names': ['murators53'], 'contributions_count': [6]}]"
"[{'contributors_names': ['brandonLi8'], 'contributions_count': [45]}]"
"[{'contributors_names': ['AHm1ta', 'mhasancse15'], 'contributions_count': [3, 3]}]"
"[{'contributors_names': ['maruya24'], 'contributions_count': [29]}]"
"[{'contributors_names': ['XaFF-XaFF'], 'contributions_count': [4]}]"
"[{'contributors_names': ['es-roshanb', 'dev-roshan'], 'contributions_count': [11, 7]}]"
"[{'contributors_names': ['dualra1n', 'edwin170'], 'contributions_count': [5, 2]}]"
"[{'contributors_names': ['bfeldpw'], 'contributions_count': [205]}]"
"[{'contributors_names': ['nikhilroxtomar'], 'contributions_count': [16]}]"
"[{'contributors_names': ['kannanjayachandran'], 'contributions_count': [119]}]"
"[{'contributors_names': ['CheatMaker', 'Liam5750'], 'contributions_count': [123, 28]}]"
"[{'contributors_names': ['Draylar'], 'contributions_count': [10]}]"
"[{'contributors_names': ['mohamad-liyaghi'], 'contributions_count': [361]}]"
"[{'contributors_names': ['Aziteee'], 'contributions_count': [2]}]"
"[{'contributors_names': ['kaidesu'], 'contributions_count': [9]}]"
"[{'contributors_names': ['dazKind', 'Greg209'], 'contributions_count': [19, 1]}]"
"[{'contributors_names': ['eric-ricky'], 'contributions_count': [2]}]"
"[{'contributors_names': ['mfarisadip'], 'contributions_count': [8]}]"
"[{'contributors_names': ['Minty-Crisp'], 'contributions_count': [229]}]"
"[{'contributors_names': ['willyfh'], 'contributions_count': [13]}]"
"[{'contributors_names': ['zackradisic'], 'contributions_count': [6]}]"
"[{'contributors_names': ['Vortrix5', 'JoaquinGiordano', 'Aimbas'], 'contributions_count': [13, 9, 1]}]"
"[{'contributors_names': ['mvenditto'], 'contributions_count': [66]}]"
"[{'contributors_names': ['yubinCloud'], 'contributions_count': [38]}]"
"[{'contributors_names': ['FYH620', 'supermarketss'], 'contributions_count': [11, 1]}]"
"[{'contributors_names': ['helpmefindaname'], 'contributions_count': [72]}]"
"[{'contributors_names': ['nxte-development'], 'contributions_count': [14]}]"
"[{'contributors_names': ['francoisgfx'], 'contributions_count': [3]}]"
"[{'contributors_names': ['camdencheek', 'bobheadxi', 'sashamelentyev', 'XiaoConstantine', 'shadow3x3x3', 'Link512', 'mateusz834', 'lsmoura', 'SimonRichardson', 'zdyxry', 'zhongdai', 'exfly', 'honkkki', 'moonD4rk'], 'contributions_count': [139, 49, 17, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}]"
"[{'contributors_names': ['Jopezzia', 'Coyote-A', 'Danamir', 'AIrjen', 'Emmortal451', 'imanrep', 'wywywywy'], 'contributions_count': [37, 33, 7, 1, 1, 1, 1]}]"
"[{'contributors_names': ['Luca1991', 'vitoplantamura'], 'contributions_count': [3, 2]}]"
"[{'contributors_names': ['dylanshine', 'ronaldmannak', 'joshgalvan', 'ftp27', 'arthurgarzajr', 'fjcaetano', 'JSky74', 'PabraiVentures', 'Ryu0118', 'sulsanaul', 'hyouuu'], 'contributions_count': [26, 8, 4, 3, 1, 1, 1, 1, 1, 1, 1]}]"
"[{'contributors_names': ['giuven95'], 'contributions_count': [150]}]"
"[{'contributors_names': ['cuifengcn'], 'contributions_count': [6]}]"
"[{'contributors_names': ['aurimas13'], 'contributions_count': [601]}]"
"[{'contributors_names': ['bryandlee'], 'contributions_count': [34]}]"
"[{'contributors_names': ['Narsil'], 'contributions_count': [21]}]"
"[{'contributors_names': ['novickaa', 'cpamirla'], 'contributions_count': [30, 13]}]"
"[{'contributors_names': ['kwonminki'], 'contributions_count': [18]}]"
"[{'contributors_names': ['Robert1802'], 'contributions_count': [39]}]"
"[{'contributors_names': ['sorabug', 'qwqdanchun'], 'contributions_count': [40, 6]}]"
"[{'contributors_names': ['DongHeePaek', 'kaist-avelab', 'ktirta'], 'contributions_count': [26, 2, 1]}]"
"[{'contributors_names': ['dai-shi', 'hiddenboox'], 'contributions_count': [32, 1]}]"
